event_date,source_medium,campaign,content,term,page_location,user_id,session,user,page_bounce,begin_checkout,regular_purchase,once_purchase,regular_value,once_value
2024-10-01,구글 / 자연검색,,,,https://concern.or.kr/ghi,,1202204761,1202204761,0,,,,,
2024-10-01,직접유입,,,,https://www.concern.or.kr/,,730310105.2,730310105.2,1,,,,,
2024-10-01,https://linktr.ee/,,,,https://concern.or.kr/55years,,1119490441,1119490441,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=IwAR1OShIE8F-b_6AImxbWdsWqSzj-WIo06CXO66EbQYuO_Q2U5XTOxoP8L2w_aem_Af7soQiw7OYKt4qPkipIkPrLqu4jRSaXoUdSOGdP3TXcdgJk9Mw0OX2UnOG_rmTKN2NsRQ9r0ZT-3W1Dr2-AYe13,,1754181320,1754181320,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAaY2kYquE-Iz5gCbN43xPLZ14pHbQuQK3wIfQmVOTeI4HrvCxtqVnLZ4-Zg_aem_Af5sAiGuZZpXVmfAJKJJtM8LiaDqmhgHbLPTLLNw3WCvILUGsNU16bBOQHMpwhtzEIqM9eW4FgOpvWy8ILyj99ET,,1736453176,1736453176,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAaYtIGk3nwUKrADvAyIB_jYG1Gf9fUEkcWPqjV01qPcPBFVTicn31KxFIHM_aem_AcUPajFznmQiGWDmHdIdVuAafQEsNJQyk3cWxTDuK2ycO_RbtN9R8wl5W9R6WppM08NC95VQdL077a0nTiVtGtvd,,209684759.2,209684759.2,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAaYwkblADsmw-2HnMzOpkiVDxjnHWQlyPdS4VfShr3vvsP22W9quUKom_j8_aem_AcUn7VwaGYI3xbfoEcin-KvkQGbM_vFrx-e-8StNOUbE8GRqD9tVYNIPOlYxCZLQY36jtXXm61RkiHZYek02nN1a,,1940644822,1940644822,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAaZugjUUdhqoZsvi52QM8H4MmP3yqu_RixdrzhA3sneHk7YC_wfUNVF-4a4_aem_AdUqQEVyrNt3NUwLYAZFgc2whFmgRcEUCiMuMHY-Dynifbe-1ynIcWOuC_91W5PUTfshME3eGlQaqJ0glpJvjpxX,,1686360299,1686360299,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAaa3KN7INORoPfQaoM-veP7-r4gF8LfKSC0Goo8LpdMqq_cwcrQ2DO5OEOI_aem_AcUkJJ8NsxieOV0F-E8ZFX3j4nF8I7U3c5wad0ttFbAQTubCT1Vgf59n1a6F-wCIm6n6GXR4metO5F9PQlWOLMxL,,1852133258,1852133258,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAaa7YYBwBZuoXQOBqXt_n2N-cX65FWgKe4dQ-5euKMd5hoxxLX_MZOHUkWs_aem_AdVYVO3ur6MIl5zBGLO8k6WqIDMkZjVddtYxEAFK3C8QfFbuFFgypnrugnBnMKYtUfe1EOQ20xepAWyHtBQhmyuS,,1533612415,1533612415,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAaaJAafnAQfuTetfFXLb6Q9i7sCdoB7eU4wPZnOtW6VpZ_-AVRtEj-8czgM_aem_AbvtfPzqJgCX4z2ZYD6qDU9_kdvyHSTW5VTmpQlPCAMyhyLw1iY3JrAr_nGTkWOWP-7dDGXcjNDLlovJf_I-4Axs,,1098036273,1098036273,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAaaK1eOLfkCdNlPSjFpWxmjEQcjmscMSMP7m6N_rN7VTGKnus9G_4HSZVtY_aem_Af4C8KO9LsOiBKhIlpO_OZ6ibIQ1rJMMYoWtSmQUUQg_6boDlgz8B8cAGu8LTIVTxnaDiE8TNNWqrbIfhAwDEX33,,1769439261,1769439261,1,,,,,
2024-10-01,instagram / display,concernexpress_sep2023,jerry,,https://campaign.concern.or.kr/concernexpress/detail?seq=107&utm_source=instagram&utm_medium=display&utm_campaign=concernexpress_sep2023&utm_content=jerry&fbclid=PAAabcysAYJxiveQlPQSWVxPnAsak9zxyEqPo5WdxQif6gaD6KR8TI0q7eE3A_aem_AdUWQSUWgVUBQvc16JkwkuCMnsX0k73qgCBr5DbPPZ6dIQkvfRZccdxXaOTBBgTarhDXGiLGHgqHzkQlmstPkcbo,,550803094.2,550803094.2,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,179985511.2,179985511.2,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,501611808.2,501611808.2,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,2099350190,2099350190,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1269696373,1269696373,0,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,910476910.2,910476910.2,0,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1858993307,1858993307,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,687700489.2,687700489.2,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1777554093,1777554093,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1368512690,1368512690,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1791010112,1791010112,0,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,2066512630,2066512630,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1934580357,1934580357,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,225112697.2,225112697.2,1,1,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1496186944,1496186944,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1854905528,1854905528,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,2043722157,2043722157,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023,,1034407669,1034407669,1,,,,,
2024-10-01,youtube / pmax,ConcernExpress_Sep2023,goat,,https://campaign.concern.or.kr/concernexpress/detail?seq=101&utm_source=youtube&utm_medium=pmax&utm_campaign=ConcernExpress_Sep2023&utm_content=goat,,513958314.2,513958314.2,1,,,,,
2024-10-01,youtube / pmax,ConcernExpress_Sep2023,goat,,https://campaign.concern.or.kr/concernexpress/detail?seq=101&utm_source=youtube&utm_medium=pmax&utm_campaign=ConcernExpress_Sep2023&utm_content=goat,,1675085884,1675085884,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjw69moBhCeARIsAK8rK-XmXnN6Qa6RsDs-kQn9taakAJRTFI4G-edK8mEqRWj8DWnyLPnKS3QaAkp4,,152553588.2,152553588.2,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjw69moBhCeARIsAK8rK-XmXnN6Qa6RsDs-kQn9taakAJRTFI4G-edK8mEqRWj8DWnyLPnKS3QaAkp4,,1383904946,1383904946,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwjt-oBhCsARIsAE_ykBfoglhMQN-tXe6GwoKH2UpHaXedGZNuAuEnt8FqbblAzrY6lSup4uEaAp2E,,2076438765,2076438765,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwjt-oBhCsARIsAE_ykBfoglhMQN-tXe6GwoKH2UpHaXedGZNuAuEnt8FqbblAzrY6lSup4uEaAp2E,,717939171.2,717939171.2,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwjt-oBhCsARIsAE_ykBfoglhMQN-tXe6GwoKH2UpHaXedGZNuAuEnt8FqbblAzrY6lSup4uEaAp2E,,1492978109,1492978109,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwjt-oBhCsARIsAE_ykBfoglhMQN-tXe6GwoKH2UpHaXedGZNuAuEnt8FqbblAzrY6lSup4uEaAp2E,,1199639833,1199639833,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwyNSoBhD8ARIsAFE9V1M_ByDMDv6v54yvv4nVHQyGxvwB_wegGIfxPisWujlOLJy3ytllRNwaAngh,,1203711437,1203711437,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwyNSoBhD8ARIsAFE9V1M_ByDMDv6v54yvv4nVHQyGxvwB_wegGIfxPisWujlOLJy3ytllRNwaAngh,,117624477.2,117624477.2,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwyNSoBhD8ARIsAFE9V1M_ByDMDv6v54yvv4nVHQyGxvwB_wegGIfxPisWujlOLJy3ytllRNwaAngh,,1860197713,1860197713,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwyNSoBhD8ARIsAFE9V1M_ByDMDv6v54yvv4nVHQyGxvwB_wegGIfxPisWujlOLJy3ytllRNwaAngh,,1925351184,1925351184,1,,,,,
2024-10-01,youtube / video,IPS_Sep2023,,,https://www.concern.or.kr/ips?utm_source=youtube&utm_medium=video&utm_campaign=IPS_Sep2023&wbraid=Cj0KCQjwyNSoBhD8ARIsAFE9V1M_ByDMDv6v54yvv4nVHQyGxvwB_wegGIfxPisWujlOLJy3ytllRNwaAngh,,293826073.2,293826073.2,1,,,,,
